HOURBEGINNING_TIME,JCPL
31-DEC-2017 23:00:00,$121.23
31-DEC-2017 22:00:00,$130.51
31-DEC-2017 21:00:00,$128.02
31-DEC-2017 20:00:00,$133.12
31-DEC-2017 19:00:00,$144.78
31-DEC-2017 18:00:00,$154.91
31-DEC-2017 17:00:00,$164.94
31-DEC-2017 16:00:00,$113.92
31-DEC-2017 15:00:00,$96.49
31-DEC-2017 14:00:00,$88.72
31-DEC-2017 13:00:00,$91.47
31-DEC-2017 12:00:00,$93.61
31-DEC-2017 11:00:00,$113.31
31-DEC-2017 10:00:00,$127.57
31-DEC-2017 09:00:00,$130.89
31-DEC-2017 08:00:00,$121.92
31-DEC-2017 07:00:00,$94.35
31-DEC-2017 06:00:00,$90.56
31-DEC-2017 05:00:00,$89.80
31-DEC-2017 04:00:00,$82.36
31-DEC-2017 03:00:00,$77.25
31-DEC-2017 02:00:00,$74.81
31-DEC-2017 01:00:00,$79.79
31-DEC-2017 00:00:00,$96.57
30-DEC-2017 23:00:00,$62.63
30-DEC-2017 22:00:00,$74.29
30-DEC-2017 21:00:00,$74.22
30-DEC-2017 20:00:00,$83.76
30-DEC-2017 19:00:00,$90.95
30-DEC-2017 18:00:00,$101.62
30-DEC-2017 17:00:00,$99.31
30-DEC-2017 16:00:00,$68.21
30-DEC-2017 15:00:00,$54.34
30-DEC-2017 14:00:00,$53.83
30-DEC-2017 13:00:00,$57.27
30-DEC-2017 12:00:00,$62.75
30-DEC-2017 11:00:00,$73.46
30-DEC-2017 10:00:00,$86.24
30-DEC-2017 09:00:00,$97.33
30-DEC-2017 08:00:00,$89.01
30-DEC-2017 07:00:00,$69.68
30-DEC-2017 06:00:00,$56.30
30-DEC-2017 05:00:00,$51.62
30-DEC-2017 04:00:00,$48.92
30-DEC-2017 03:00:00,$47.19
30-DEC-2017 02:00:00,$49.34
30-DEC-2017 01:00:00,$52.07
30-DEC-2017 00:00:00,$59.16
29-DEC-2017 23:00:00,$93.37
29-DEC-2017 22:00:00,$114.49
29-DEC-2017 21:00:00,$128.38
29-DEC-2017 20:00:00,$140.79
29-DEC-2017 19:00:00,$147.93
29-DEC-2017 18:00:00,$162.02
29-DEC-2017 17:00:00,$168.29
29-DEC-2017 16:00:00,$110.90
29-DEC-2017 15:00:00,$100.58
29-DEC-2017 14:00:00,$97.45
29-DEC-2017 13:00:00,$105.87
29-DEC-2017 12:00:00,$114.14
29-DEC-2017 11:00:00,$136.25
29-DEC-2017 10:00:00,$167.97
29-DEC-2017 09:00:00,$150.53
29-DEC-2017 08:00:00,$158.45
29-DEC-2017 07:00:00,$154.56
29-DEC-2017 06:00:00,$124.23
29-DEC-2017 05:00:00,$117.84
29-DEC-2017 04:00:00,$106.42
29-DEC-2017 03:00:00,$106.02
29-DEC-2017 02:00:00,$104.61
29-DEC-2017 01:00:00,$110.00
29-DEC-2017 00:00:00,$119.91
28-DEC-2017 23:00:00,$101.69
28-DEC-2017 22:00:00,$109.64
28-DEC-2017 21:00:00,$115.75
28-DEC-2017 20:00:00,$120.28
28-DEC-2017 19:00:00,$140.68
28-DEC-2017 18:00:00,$142.78
28-DEC-2017 17:00:00,$141.77
28-DEC-2017 16:00:00,$99.76
28-DEC-2017 15:00:00,$80.95
28-DEC-2017 14:00:00,$69.50
28-DEC-2017 13:00:00,$76.89
28-DEC-2017 12:00:00,$89.41
28-DEC-2017 11:00:00,$107.87
28-DEC-2017 10:00:00,$121.37
28-DEC-2017 09:00:00,$131.60
28-DEC-2017 08:00:00,$149.50
28-DEC-2017 07:00:00,$165.10
28-DEC-2017 06:00:00,$140.95
28-DEC-2017 05:00:00,$132.70
28-DEC-2017 04:00:00,$123.85
28-DEC-2017 03:00:00,$116.89
28-DEC-2017 02:00:00,$114.65
28-DEC-2017 01:00:00,$118.46
28-DEC-2017 00:00:00,$125.00
27-DEC-2017 23:00:00,$77.14
