HOURBEGINNING_TIME,JCPL
01-DEC-2018 23:00:00,$28.89
01-DEC-2018 22:00:00,$31.11
01-DEC-2018 21:00:00,$32.79
01-DEC-2018 20:00:00,$35.02
01-DEC-2018 19:00:00,$36.71
01-DEC-2018 18:00:00,$41.60
01-DEC-2018 17:00:00,$45.35
01-DEC-2018 16:00:00,$41.96
01-DEC-2018 15:00:00,$32.74
01-DEC-2018 14:00:00,$32.39
01-DEC-2018 13:00:00,$33.70
01-DEC-2018 12:00:00,$36.10
01-DEC-2018 11:00:00,$39.14
01-DEC-2018 10:00:00,$40.78
01-DEC-2018 09:00:00,$39.59
01-DEC-2018 08:00:00,$36.37
01-DEC-2018 07:00:00,$35.60
01-DEC-2018 06:00:00,$33.11
01-DEC-2018 05:00:00,$32.79
01-DEC-2018 04:00:00,$30.52
01-DEC-2018 03:00:00,$30.19
01-DEC-2018 02:00:00,$31.15
01-DEC-2018 01:00:00,$31.98
01-DEC-2018 00:00:00,$34.03
30-NOV-2018 23:00:00,$31.26
30-NOV-2018 22:00:00,$33.57
30-NOV-2018 21:00:00,$35.65
30-NOV-2018 20:00:00,$38.20
30-NOV-2018 19:00:00,$44.17
30-NOV-2018 18:00:00,$47.67
30-NOV-2018 17:00:00,$52.57
30-NOV-2018 16:00:00,$47.72
30-NOV-2018 15:00:00,$38.40
30-NOV-2018 14:00:00,$37.94
30-NOV-2018 13:00:00,$39.59
30-NOV-2018 12:00:00,$41.47
30-NOV-2018 11:00:00,$44.59
30-NOV-2018 10:00:00,$45.81
30-NOV-2018 09:00:00,$46.11
30-NOV-2018 08:00:00,$46.90
30-NOV-2018 07:00:00,$43.72
30-NOV-2018 06:00:00,$39.31
30-NOV-2018 05:00:00,$36.29
30-NOV-2018 04:00:00,$33.85
30-NOV-2018 03:00:00,$32.26
30-NOV-2018 02:00:00,$32.00
30-NOV-2018 01:00:00,$33.41
30-NOV-2018 00:00:00,$34.57
29-NOV-2018 23:00:00,$32.27
29-NOV-2018 22:00:00,$34.16
29-NOV-2018 21:00:00,$36.88
29-NOV-2018 20:00:00,$39.54
29-NOV-2018 19:00:00,$44.12
29-NOV-2018 18:00:00,$52.12
29-NOV-2018 17:00:00,$58.19
