HOURBEGINNING_TIME,JCPL
23-SEP-2021 23:00:00,$34.23
23-SEP-2021 22:00:00,$36.15
23-SEP-2021 21:00:00,$37.18
23-SEP-2021 20:00:00,$42.66
23-SEP-2021 19:00:00,$46.69
23-SEP-2021 18:00:00,$43.16
23-SEP-2021 17:00:00,$43.31
23-SEP-2021 16:00:00,$43.16
23-SEP-2021 15:00:00,$42.97
23-SEP-2021 14:00:00,$42.56
23-SEP-2021 13:00:00,$42.78
23-SEP-2021 12:00:00,$42.68
23-SEP-2021 11:00:00,$43.22
23-SEP-2021 10:00:00,$41.85
23-SEP-2021 09:00:00,$43.54
23-SEP-2021 08:00:00,$41.84
23-SEP-2021 07:00:00,$41.73
23-SEP-2021 06:00:00,$38.99
23-SEP-2021 05:00:00,$30.96
23-SEP-2021 04:00:00,$27.97
23-SEP-2021 03:00:00,$27.60
23-SEP-2021 02:00:00,$28.18
23-SEP-2021 01:00:00,$30.30
23-SEP-2021 00:00:00,$32.18
22-SEP-2021 23:00:00,$35.84
22-SEP-2021 22:00:00,$36.71
22-SEP-2021 21:00:00,$38.88
22-SEP-2021 20:00:00,$42.64
22-SEP-2021 19:00:00,$51.38
22-SEP-2021 18:00:00,$48.18
22-SEP-2021 17:00:00,$47.81
22-SEP-2021 16:00:00,$46.11
22-SEP-2021 15:00:00,$43.69
22-SEP-2021 14:00:00,$42.15
22-SEP-2021 13:00:00,$41.54
22-SEP-2021 12:00:00,$39.75
22-SEP-2021 11:00:00,$39.50
22-SEP-2021 10:00:00,$38.57
22-SEP-2021 09:00:00,$40.13
22-SEP-2021 08:00:00,$37.50
22-SEP-2021 07:00:00,$37.20
22-SEP-2021 06:00:00,$37.00
22-SEP-2021 05:00:00,$33.04
22-SEP-2021 04:00:00,$31.58
22-SEP-2021 03:00:00,$30.92
22-SEP-2021 02:00:00,$31.65
22-SEP-2021 01:00:00,$32.76
22-SEP-2021 00:00:00,$33.63
21-SEP-2021 06:00:00,$35.49
21-SEP-2021 05:00:00,$31.32
21-SEP-2021 04:00:00,$30.71
21-SEP-2021 03:00:00,$30.45
21-SEP-2021 02:00:00,$31.02
21-SEP-2021 01:00:00,$30.98
21-SEP-2021 00:00:00,$31.56
