HOURBEGINNING_TIME,JCPL
11-MAR-2018 23:00:00,$18.31
11-MAR-2018 22:00:00,$24.11
11-MAR-2018 21:00:00,$27.60
11-MAR-2018 20:00:00,$32.78
11-MAR-2018 19:00:00,$39.25
11-MAR-2018 18:00:00,$26.68
11-MAR-2018 17:00:00,$21.86
11-MAR-2018 16:00:00,$22.00
11-MAR-2018 15:00:00,$22.14
11-MAR-2018 14:00:00,$22.19
11-MAR-2018 13:00:00,$22.26
11-MAR-2018 12:00:00,$22.63
11-MAR-2018 11:00:00,$22.73
11-MAR-2018 10:00:00,$23.80
11-MAR-2018 09:00:00,$25.42
11-MAR-2018 08:00:00,$22.16
11-MAR-2018 07:00:00,$22.58
11-MAR-2018 06:00:00,$22.28
11-MAR-2018 05:00:00,$22.57
11-MAR-2018 04:00:00,$24.07
11-MAR-2018 03:00:00,$24.10
11-MAR-2018 01:00:00,$24.50
11-MAR-2018 00:00:00,$27.10
